Nom;codesp;catecol;cat_troph;cat_troph_gibao;genre;espece
Hemicaranx bicolor;AAM;Mo;p2-ge;macrop;Hemicaranx;bicolor
Alestes baremoze;ABA;Co;om-ge;omnivo;Alestes;baremoze
Porogobius schlegelii;ACS;Es;om-ge;omnivo;Porogobius;schlegelii
Arius latiscutatus;AGA;ME;p2-ge;macrop;Arius;latiscutatus
Arius heudelotii;AHE;ME;p2-ge;macrop;Arius;heudelotii
Brycinus longipinnis;ALO;Ce;om-ge;omnivo;Brycinus;longipinnis
Brycinus macrolepidotus;AMA;Ce;om-ge;omnivo;Brycinus;macrolepidotus
Acanthurus monroviae;AMO;Mo;om-ge;omnivo;Acanthurus;monroviae
Brycinus nurse;ANU;Co;om-ge;omnivo;Brycinus;nurse
Antennarius pardalis;APA;Mo;p2-ge;macrop;Antennarius;pardalis
Arius parkii;ARP;ME;p2-ge;macrop;Arius;parkii
Albula vulpes;AVU;Mo;p1-bt;bentho;Albula;vulpes
Brachydeuterus auritus;BAU;ME;p1-mc;macrop;Brachydeuterus;auritus
Synodontis batensoda;BBA;Co;om-ge;omnivo;Synodontis;batensoda
Strongylura senegalensis;BES;Em;p2-pi;ichtyo;Strongylura;senegalensis
Batrachoides liberiensis;BLI;Ma;p2-ge;macrop;Batrachoides;liberiensis
Caranx senegallus;CAS;ME;p2-ge;macrop;Caranx;senegallus
Chrysichthys auratus;CFI;Ec;p1-bt;bentho;Chrysichthys;auratus
Chaetodipterus goreensis;CHG;Mo;p1-mc;macrop;Chaetodipterus;goreensis
Caranx hippos;CHI;ME;p2-ge;macrop;Caranx;hippos
Chloroscombrus chrysurus;CHL;ME;p1-mc;macrop;Chloroscombrus;chrysurus
Chrysichthys johnelsi;CJO;Ce;p1-bt;bentho;Chrysichthys;johnelsi
Chaetodipterus lippei;CLI;Ma;p1-mc;macrop;Chaetodipterus;lippei
Clarias anguillaris;CLS;Co;om-ge;omnivo;Clarias;anguillaris
Chrysichthys nigrodigitatus;CNI;Ec;p1-bt;bentho;Chrysichthys;nigrodigitatus
Caranx rhonchus;CRH;Mo;p1-bt;bentho;Caranx;rhonchus
Citharichthys stampflii;CST;Em;p2-ge;macrop;Citharichthys;stampflii
Scomberomorus tritor;CTR;Ma;p2-pi;ichtyo;Scomberomorus;tritor
Chrysichthys maurus;CWA;Ec;p1-bt;bentho;Chrysichthys;maurus
Cynoglossus monodi;CYM;Mo;p1-bt;bentho;Cynoglossus;monodi
Cynoglossus senegalensis;CYS;Em;p1-bt;bentho;Cynoglossus;senegalensis
Drepane africana;DAF;ME;p1-mc;macrop;Drepane;africana
Dasyatis margaritella;DAM;Em;p1-bt;bentho;Dasyatis;margaritella
Dasyatis margarita;DMA;Em;p1-bt;bentho;Dasyatis;margarita
Dasyatis ukpam;DUK;Co;p1-bt;bentho;Dasyatis;ukpam
Diplodus vulgaris;DVU;Mo;p1-bt;bentho;Diplodus;vulgaris
Epinephelus aeneus;EAE;ME;p2-pi;ichtyo;Epinephelus;aeneus
Ethmalosa fimbriata;EFI;Em;he-ph;phytop;Ethmalosa;fimbriata
Ephippion guttifer;EGU;ME;p1-bt;bentho;Ephippion;guttifer
Elops lacerta;ELA;ME;p2-pi;ichtyo;Elops;lacerta
Schilbe mandibularis;EME;Ce;p1-mc;macrop;Schilbe;mandibularis
Echeneis naucrates;ENA;Mo;p1-zo;zoopla;Echeneis;naucrates
Eleotris senegalensis;ESE;Es;p1-mc;macrop;Eleotris;senegalensis
Eleotris vittata;EVI;Es;p1-mc;macrop;Eleotris;vittata
Gobioides sagitta;GAN;Es;p1-bt;bentho;Gobioides;sagitta
Galeoides decadactylus;GDE;ME;p2-ge;macrop;Galeoides;decadactylus
Eucinostomus melanopterus;GME;ME;p1-mc;macrop;Eucinostomus;melanopterus
Gerres nigri;GNI;Es;p1-mc;macrop;Gerres;nigri
Bostrychus africanus;HAF;Es;p1-mc;macrop;Bostrychus;africanus
Hemiramphus balao;HBA;Em;p2-ge;macrop;Hemiramphus;balao
Hyperopisus bebe;HBO;Co;p1-bt;bentho;Hyperopisus;bebe
Hemiramphus brasiliensis;HBR;Em;p2-ge;macrop;Hemiramphus;brasiliensis
Hemichromis fasciatus;HFA;Ec;p2-ge;macrop;Hemichromis;fasciatus
Heterobranchus isopterus;HIS;Ce;om-ge;omnivo;Heterobranchus;isopterus
Hepsetus odoe;HOD;Co;p2-pi;ichtyo;Hepsetus;odoe
Hyporamphus picarti;HPI;Ma;p2-ge;macrop;Hyporamphus;picarti
Ilisha africana;IAF;Em;p1-zo;zoopla;Ilisha;africana
Liza dumerili;LDU;Em;he-de;detrit;Liza;dumerili
Liza falcipinnis;LFA;Em;he-de;detrit;Liza;falcipinnis
Trachinotus ovatus;LGL;Ma;p2-ge;macrop;Trachinotus;ovatus
Lutjanus goreensis;LGO;Ma;p2-pi;ichtyo;Lutjanus;goreensis
Liza grandisquamis;LGR;Em;he-de;detrit;Liza;grandisquamis
Lichia amia;LIA;Ma;p2-ge;macrop;Lichia;amia
Lagocephalus laevigatus;LLA;Ma;p2-ge;macrop;Lagocephalus;laevigatus
Lobotes surinamensis;LSU;Mo;p2-ge;macrop;Lobotes;surinamensis
Lutjanus dentatus;LUD;Mo;p2-pi;ichtyo;Lutjanus;dentatus
Mormyrops anguilloides;MAN;Co;p2-ge;macrop;Mormyrops;anguilloides
Mugil bananensis;MBA;ME;he-de;detrit;Mugil;bananensis
Marcusenius bruyerei;MBR;Co;p1-bt;bentho;Marcusenius;bruyerei
Mugil cephalus;MCE;ME;he-de;detrit;Mugil;cephalus
Mugil curema;MCU;Em;he-de;detrit;Mugil;curema
Marcusenius furcidens;MFU;Co;p1-bt;bentho;Marcusenius;furcidens
Gobionellus occidentalis;OOC;Es;p1-bt;bentho;Gobionellus;occidentalis
Psettodes belcheri;PBE;Mo;p2-ge;macrop;Psettodes;belcheri
Petrocephalus bovei;PBO;Co;p1-mc;macrop;Petrocephalus;bovei
Pseudotolithus brachygnathus;PBR;ME;p2-ge;macrop;Pseudotolithus;brachygnathus
Pellonula leonensis;PEF;Ec;p1-mc;macrop;Pellonula;leonensis
Pagrus caeruleostictus;PEH;Ma;p1-bt;bentho;Pagrus;caeruleostictus
Pseudotolithus elongatus;PEL;Em;p2-ge;macrop;Pseudotolithus;elongatus
Pseudotolithus epipercus;PEP;Mo;p2-ge;macrop;Pseudotolithus;epipercus
Chromidotilapia guentheri;PGU;Co;p1-mc;macrop;Chromidotilapia;guentheri
Parailia pellucida;PHP;Ce;p1-bt;bentho;Parailia;pellucida
Pomadasys incisus;PIN;Ma;p1-bt;bentho;Pomadasys;incisus
Pomadasys jubelini;PJU;Em;p1-bt;bentho;Pomadasys;jubelini
Plectorhinchus macrolepis;PLM;Em;p2-ge;macrop;Plectorhinchus;macrolepis
Polydactylus quadrifilis;POQ;ME;p2-pi;ichtyo;Polydactylus;quadrifilis
Pomadasys perotaei;PPE;Em;p1-bt;bentho;Pomadasys;perotaei
Pseudupeneus prayensis;PPR;Mo;p1-bt;bentho;Pseudupeneus;prayensis
Pentanemus quinquarius;PQQ;Ma;p2-ge;macrop;Pentanemus;quinquarius
Monodactylus sebae;PSB;Es;p2-ge;macrop;Monodactylus;sebae
Pseudotolithus senegalensis;PSN;Ma;p2-ge;macrop;Pseudotolithus;senegalensis
Pteroscion peli;PTP;ME;p1-mc;macrop;Pteroscion;peli
Pseudotolithus typus;PTY;ME;p2-ge;macrop;Pseudotolithus;typus
Rhizoprionodon acutus;RAC;Mo;p2-pi;ichtyo;Rhizoprionodon;acutus
Rhinoptera bonasus;RBO;Mo;p1-bt;bentho;Rhinoptera;bonasus
Scorpaena scrofa;SCS;Mo;p2-ge;macrop;Scorpaena;scrofa
Sardinella maderensis;SEB;ME;p1-zo;zoopla;Sardinella;maderensis
Sphyraena guachancho;SGU;ME;p2-pi;ichtyo;Sphyraena;guachancho
Schilbe intermedius;SIN;Ce;p1-mc;macrop;Schilbe;intermedius
Enneacampus kaupi;SKA;Es;p1-bt;bentho;Enneacampus;kaupi
Sphyraena afra;SPI;ME;p2-pi;ichtyo;Sphyraena;afra
Synodontis gambiensis;SYG;Ce;om-ge;omnivo;Synodontis;gambiensis
Tylosurus crocodilus;TCR;Mo;p2-pi;ichtyo;Tylosurus;crocodilus
Trachinotus teraia;TFA;Em;p1-bt;bentho;Trachinotus;teraia
Tilapia guineensis;TGU;Es;he-de;detrit;Tilapia;guineensis
Sarotherodon melanotheron;THE;Es;he-ph;phytop;Sarotherodon;melanotheron
Tylochromis jentinki;TJE;Es;p1-bt;bentho;Tylochromis;jentinki
Trichiurus lepturus;TLE;ME;p2-pi;ichtyo;Trichiurus;lepturus
Tilapia mariae;TMA;Ec;om-ge;omnivo;Tilapia;mariae
Tylosurus acus rafale;TRA;Mo;p2-pi;ichtyo;Tylosurus;acus rafale
Selene dorsalis;VSE;ME;p2-ge;macrop;Selene;dorsalis
